source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
CD8.TPEX,tumor_MPR,XCL1,ADGRV1,4.27235765985057e-09,10498.6666666667,0.830895182115437,31492,0.417463685028014,2,3.66632049573842,2
Ciliated,Ciliated,TCTN1,TMEM67,1.70891824070723e-08,5875.33333333333,0.880192905396767,17621,0.411475870290901,4,3.98617007451149,1
CD8.TEX,tumor_NMPR,CCL5,SDC1,6.73872388705096e-08,197.666666666667,0.95986601996692,151,0.143048129025645,259,1.95381957491895,183
Ciliated,tumor_NMPR,OMG,NGFR,1.29230371554001e-07,20283.6666666667,0.71816934105613,60839,0.533471438524792,1,2.94830877673952,11
CD8.TEX,tumor_MPR,CCL5,SDC1,2.57657886058964e-07,368,0.956453941757384,369,0.120646806789057,405,1.75477381341935,330
Ciliated,tumor_MPR,TFF3,ACKR3,3.46020756810444e-07,5130,0.888413728181999,15365,0.317483396129803,18,2.98403059225483,7
tumor_MPR,tumor_MPR,FGF2,FGFR3,8.980870538737e-07,13117,0.80248761391978,39293,0.295255100924037,29,2.62930596929824,29
Ciliated,tumor_MPR,EFNB3,EPHA4,1.23442440712339e-06,19801,0.725124262584277,59357,0.353970726457732,12,2.56156622171529,34
CD8.TPEX,tumor_NMPR,CCL5,SDC1,2.4327622254542e-06,693.666666666667,0.951985824462121,856,0.098312200890532,634,1.56876736441532,591
Ciliated,tumor_NMPR,FGF14,FGFR2,2.46005586659712e-06,11624,0.818619876077694,34818,0.260071563710281,48,3.00096390590194,6
tumor_MPR,tumor_MPR,LGI4,ADAM23,2.56360730177099e-06,19403.3333333333,0.730576988035387,58156,0.388650283005681,5,2.47439953772228,49
Ciliated,CD8.TEX,CD59,CD2,2.77134712076285e-06,574,0.951597940417103,894,0.0933774171478008,710,2.0695665318103,118
Ciliated,normal_MPR,FGF14,FGFR2,3.97265769190457e-06,12111.6666666667,0.813249167478271,36264,0.242119544904662,61,2.94934738827043,10
CD8.TEX,tumor_MPR,GZMB,CHRM3,5.84579916579809e-06,4322,0.898148103863981,12873,0.316302004433106,19,2.30924559752772,74
tumor_MPR,tumor_MPR,WNT5A,FZD7,6.66221823303857e-06,7869.66666666667,0.859716706097849,23507,0.221356956214037,79,2.69343288323755,23
tumor_MPR,tumor_MPR,WNT5A,VANGL2,7.00371391616275e-06,11188.6666666667,0.823636003461947,33428,0.219652167055953,81,2.40676253303601,57
normal_NMPR,M2-SIGLEC8+,MXRA5,SIGLEC8,7.00371391616275e-06,19986.3333333333,0.722951981824174,59855,0.307815036085314,23,2.24677204271,81
Ciliated,MRC1+ M2-like,OMG,RTN4R,7.17766044074231e-06,18592.3333333333,0.740950886642597,55677,0.219195144816512,82,2.80969306343829,18
Ciliated,tumor_MPR,FGF14,FGFR2,7.35373935860876e-06,12859.6666666667,0.805265376313728,38482,0.21832294881669,83,2.88092625776447,14
normal_NMPR,Ciliated,MMP7,ERBB4,7.71229418802808e-06,10955,0.826317510662459,32745,0.282934052971183,35,2.23671526311203,85
tumor_MPR,tumor_NMPR,FGF2,SDC1,8.26611821821973e-06,5071.33333333333,0.889627545321914,15074,0.213453323353834,88,2.45550044319716,52
CD8.TEX,Ciliated,CCL5,SDC4,8.34559098939343e-06,998,0.949246852749183,1157,0.0704491058875662,1291,1.59225029857522,546
CD8.TPEX,tumor_MPR,GZMB,CHRM3,9.43133210061595e-06,4803.66666666667,0.892878004403735,14281,0.282599380858156,36,2.18925464252254,94
IFN-stimulated,tumor_MPR,CXCL11,ACKR3,9.43133210061595e-06,7614.66666666667,0.862488138244845,22680,0.21070840477362,94,2.31868596192855,70
CD8.TPEX,tumor_MPR,CCL5,SDC1,9.52169396304877e-06,1125.66666666667,0.947940130096712,1349,0.0829165203811968,907,1.36972160291572,1121
tumor_MPR,Ciliated,SEMA6A,PLXNA2,9.6329961075273e-06,21460.3333333333,0.70195714069116,64207,0.209744805260735,95,2.25582398560565,79
Ciliated,tumor_MPR,EFEMP1,EGFR,1.02507786714106e-05,6639.66666666667,0.872879770138927,19754,0.205609883649647,98,2.32507523865971,67
normal_MPR,Ciliated,MMP7,ERBB4,1.08877460726031e-05,11741.3333333333,0.817702896155128,35071,0.251498218232168,52,2.16512584796868,101
Ciliated,CD8.TPEX,CD59,CD2,1.09887347222949e-05,892,0.947487847952411,1415,0.0786484589841106,1021,1.8836427132505,240
MRC1+ M2-like,tumor_NMPR,FN1,SDC1,1.14134500070169e-05,909,0.947396048080056,1433,0.0883303634398197,799,1.62335023839972,495
Ciliated,tumor_NMPR,EFNB3,EPHB3,1.19919879665274e-05,20836.6666666667,0.71084921024679,62380,0.304729463654181,24,2.15050380875161,106
tumor_MPR,Stress-response,GPC3,FLT1,1.22192303602107e-05,9759,0.839334962963337,29133,0.200937299637758,107,2.55289932742311,37
tumor_MPR,tumor_MPR,FGFR3,EPHA4,1.24486039835919e-05,15084.6666666667,0.782099214884593,45072,0.224637567281969,74,2.13440457518623,108
CD8.TEX,normal_MPR,CCL5,SDC1,1.29859327737694e-05,1173.66666666667,0.946966887135094,1496,0.079737158408159,990,1.39127330087562,1035
tumor_NMPR,Ciliated,TGFA,ERBB4,1.46088642507379e-05,19167,0.734356795364742,57275,0.19471318425873,117,2.10862881528831,109
tumor_MPR,Ciliated,GPC3,IGF1R,1.61449242484291e-05,8895.33333333333,0.84884902794888,26548,0.192957187606838,123,2.8579714917818,15
Ciliated,Ciliated,BTC,ERBB2_ERBB4,1.61449242484291e-05,18623.6666666667,0.740856315775818,55699,0.259862181689929,49,2.06269579394494,123
tumor_MPR,tumor_MPR,CXCL12,ACKR3,1.72115745674879e-05,11807,0.816894792641916,35267,0.18726225739736,127,2.65033753682131,27
Ciliated,normal_MPR,PIP,AQP5,1.97361557287296e-05,21040,0.707898405158387,62976,0.36979847933732,8,2.0342129719409,136
MRC1+ M2-like,Monocyte-derived,LPL,CD44,2.11093999356377e-05,1558,0.945134270284816,1759,0.0670100975749139,1449,1.29570694520693,1466
Stress-response,tumor_NMPR,CXCL8,SDC1,2.18008606825722e-05,1020,0.950293198231083,1032,0.0610843148817325,1778,1.8684682110011,250
MRC1+ M2-like,tumor_NMPR,LPL,SDC1,2.23199072547359e-05,721.666666666667,0.944904287938201,1792,0.220573442684138,80,1.80088463190971,293
tumor_MPR,tumor_MPR,FGF2,SDC1,2.274358302779e-05,5873.66666666667,0.880984404136298,17397,0.180026554954349,146,2.25645468169755,78
SPP1+ immunosuppressive,CD8.TEX,CCL13,CXCR3,2.274358302779e-05,7690.66666666667,0.861821909537532,22889,0.278298178508635,37,2.02970433521857,146
tumor_MPR,tumor_NMPR,FGF2,FGFR2,2.49754850691608e-05,15105.3333333333,0.782246718428155,45032,0.177114776084589,153,2.03823452526785,131
SPP1+ immunosuppressive,tumor_NMPR,CXCL8,SDC1,2.60611796600932e-05,1089.66666666667,0.949623556133968,1113,0.0593873643526539,1887,1.83656632426399,269
CD8.TPEX,tumor_NMPR,COL6A3,SDC1,2.62976986394562e-05,5482.33333333333,0.88530139345261,16206,0.218191220386348,84,2.00726348775883,157
tumor_MPR,tumor_MPR,WNT5A,FZD8,2.76539746500677e-05,17037.6666666667,0.760234278709692,50811,0.173776511483666,161,2.03191120801143,141
Ciliated,tumor_MPR,LRIG1,EGFR,2.83448851396207e-05,6189,0.877658753172748,18336,0.173257089965281,163,2.32468610052785,68
Ciliated,Ciliated,SLPI,PLSCR4,2.83448851396207e-05,8959.33333333333,0.848775461528499,26573,0.180828034300061,142,2.00078140289453,163
tumor_NMPR,Ciliated,DCN,ERBB4,2.97522492254789e-05,26669.6666666667,0.599041912170105,79809,0.285885382114603,33,1.99385253916683,167
tumor_MPR,IFN-stimulated,GPC3,FLT1,3.01094114560126e-05,10881,0.827478213883542,32424,0.169378364556818,168,2.45996723642687,51
MRC1+ M2-like,Resident M2,LPL,CD44,3.14498211426111e-05,1855,0.943705324824609,2009,0.0634590730442089,1636,1.22858855400168,1920
Monocyte-derived,CD8.TPEX,S100A8,CD69,3.17797116966845e-05,1483.33333333333,0.944185502156296,1915,0.0575882073782444,2016,1.60740006953929,519
Ciliated,tumor_MPR,SCGB3A1,NOTCH3,3.26691393984457e-05,3502.33333333333,0.908042958574029,10206,0.166892652049174,175,2.05448656200472,126
IFN-stimulated,tumor_NMPR,FN1,SDC1,3.30737523054731e-05,1292.66666666667,0.943467388307119,2043,0.0758471577973016,1102,1.49567814847612,733
tumor_MPR,normal_MPR,FGF2,FGFR2,3.45613593731239e-05,15677.6666666667,0.776093574636213,46681,0.164889034270826,180,1.98661800763634,172
tumor_NMPR,Ciliated,MDK,TSPAN1,3.69022412873471e-05,1256.66666666667,0.93525641717855,3571,0.163262663759452,186,2.91884460037396,13
MRC1+ M2-like,tumor_MPR,FN1,SDC1,3.72707515519318e-05,1400,0.942986778406584,2126,0.0744978376447035,1145,1.42430447690012,929
tumor_MPR,tumor_MPR,SFRP1,FZD6,3.76995561772712e-05,18288.6666666667,0.745157949129877,54624,0.251176047164566,54,1.94539498246492,188
tumor_MPR,Ciliated,FGF2,GPC4,3.8101404835009e-05,17432.6666666667,0.755884120706247,51983,0.188623183685165,126,1.94376477517962,189
tumor_MPR,normal_MPR,FGF2,FGFR3,3.85053809058726e-05,17861,0.75088700722504,53266,0.162504662296,190,2.0474360523448,127
tumor_MPR,CD8.TEX,NECTIN4,TIGIT,3.89114843433184e-05,3446,0.908709989389504,10015,0.186008488046035,132,1.94216480895701,191
tumor_NMPR,Ciliated,LYPD3,AGR2,3.93197151008028e-05,2151,0.923941332225678,6136,0.189479373171375,125,1.94184111663157,192
tumor_MPR,tumor_MPR,WNT5A,FZD3,4.05571708280525e-05,13041,0.803962144559775,38851,0.161558081502526,195,2.27059819239154,77
CD8.TEX,Resident M2,CCL5,CCR1,4.61525927930582e-05,1610.66666666667,0.946688574434156,1536,0.0542882794394208,2283,1.39805462377251,1013
CD8.TEX,normal_MPR,CCL5,SDC4,4.79337999380384e-05,1912,0.942370486224512,2232,0.0538513446654572,2312,1.35237590067282,1192
Ciliated,Monocyte-derived,OMG,TNFRSF1B,4.83838895082565e-05,2028.33333333333,0.924922954710933,5869,0.155444182015626,213,3.40786576919803,3
Monocyte-derived,CD8.TEX,S100A8,CD69,4.93152143125881e-05,1746,0.942236707400383,2262,0.05354625544713,2334,1.54223924764005,642
CD8.TPEX,tumor_NMPR,XCL1,ADGRV1,4.97553282787639e-05,17935.3333333333,0.749596458055706,53582,0.154957392299607,216,2.96663586098299,8
tumor_MPR,CD8.TPEX,NECTIN4,TIGIT,5.20835820713542e-05,3582.33333333333,0.907447044128793,10381,0.180464036480284,145,1.91221328694226,221
tumor_MPR,tumor_MPR,JAG2,NOTCH3,5.30297653803178e-05,9566.66666666667,0.842683355083505,28270,0.152756104259968,223,1.92569138274677,207
Ciliated,Ciliated,MMP7,ERBB4,5.35060458040384e-05,15584.6666666667,0.777355875480105,46336,0.152377439708635,224,1.93939624282328,194
Ciliated,Ciliated,PIP,AQP5,5.44649839572394e-05,22891,0.68018032095953,68413,0.284792710358242,34,1.90314855120891,226
tumor_MPR,normal_MPR,FGF2,GPC4,5.68995281184741e-05,18112.6666666667,0.748021128607125,53945,0.173370884610802,162,1.89436959016134,231
tumor_NMPR,tumor_MPR,NECTIN1,NECTIN4,5.78882243168462e-05,6344.33333333333,0.876508227550239,18662,0.149547058178902,233,2.03339943816476,138
CD8.TEX,Monocyte-derived,CCL5,CCR1,5.93039609533886e-05,1775.66666666667,0.945589835260751,1700,0.0519969544031876,2482,1.36300721111369,1145
tumor_MPR,tumor_MPR,FGF2,FGFR2,5.93872087371133e-05,16498,0.76697648548931,49046,0.148682999564195,236,1.91819687713037,212
Ciliated,normal_NMPR,PIP,AQP5,6.03971578894225e-05,23132.6666666667,0.676079971562514,69120,0.274291056064879,40,1.8869567885413,238
Ciliated,normal_NMPR,EFNB3,RHBDL2,6.09053201875857e-05,26766.6666666667,0.597382270488731,79986,0.222818661828206,75,1.88441842200663,239
Ciliated,tumor_MPR,EFNB3,EPHB4,6.19280199952116e-05,26199,0.612997935792953,78212,0.180594080404994,144,1.88331830473944,241
Stress-response,tumor_MPR,CXCL8,SDC1,6.2143671292728e-05,1523.33333333333,0.946112955543473,1624,0.051518517477828,2521,1.6694224495015,425
Ciliated,tumor_NMPR,EFNB3,EPHA4,6.29592197742797e-05,25534.6666666667,0.629566179474216,76159,0.146918608321009,243,1.93524074950749,202
tumor_MPR,tumor_NMPR,COL4A5,SDC1,6.34780070367458e-05,5168.66666666667,0.889557157333382,15089,0.146808492239942,244,1.97933996540421,173
tumor_MPR,M2-SIGLEC8+,MXRA5,SIGLEC8,6.39989191524417e-05,24922.3333333333,0.642699491712205,74380,0.146261379643909,245,2.03136900853095,142
Ciliated,normal_NMPR,EFNB3,EPHB4,6.45219560748238e-05,26303,0.610559593815094,78509,0.176923755742981,154,1.8754808749166,246
tumor_MPR,tumor_MPR,LGI3,ADAM23,6.50471177573488e-05,21088.3333333333,0.70868126597334,62813,0.158403840167108,205,1.87371066461358,247
tumor_MPR,Ciliated,WNT5A,FZD3,6.55744041534729e-05,13900.6666666667,0.79530944669773,41354,0.145015376764375,248,2.16677878550832,100
M2-SIGLEC8+,tumor_MPR,CXCL12,ACKR3,6.61038152166526e-05,13731.3333333333,0.796911480779848,40889,0.144866781362642,249,2.43004634313431,56
Monocyte-derived,tumor_NMPR,CXCL8,SDC1,6.69199946621221e-05,1554.66666666667,0.945834238322209,1666,0.0509596527473713,2584,1.67812923580584,414
tumor_MPR,tumor_MPR,FGF2,FGFR4,6.71690111580048e-05,28793.3333333333,0.524456811549772,86123,0.375800061025004,6,1.86779204548804,251
Ciliated,normal_MPR,SHANK2,CFTR,6.8782738909361e-05,22919.3333333333,0.679781484503662,68493,0.357488705026509,11,1.86084752757648,254
CD8.TEX,normal_NMPR,CCL5,SDC1,6.93575029927592e-05,2063.33333333333,0.940328767726833,2615,0.0621033231281777,1713,1.2345887920599,1862
MRC1+ M2-like,tumor_MPR,LPL,SDC1,6.97561083593542e-05,1095,0.940299320029737,2620,0.186031664332635,131,1.60183887041011,534
M2-SIGLEC8+,SPP1+ immunosuppressive,C1QA,CD93,7.10419031749705e-05,1772.33333333333,0.940662935207063,2552,0.0504836410195555,2636,2.04485002786596,129
Stress-response,CD8.TEX,HLA-DQA1,LAG3,7.16093710120379e-05,1963.33333333333,0.943034300898359,2117,0.0504168103611705,2643,1.36770162200794,1130
tumor_MPR,SPP1+ immunosuppressive,COL4A1,CD93,7.26224550632918e-05,14800,0.786478081157435,43886,0.142739565230766,261,1.86183665294931,253
SPP1+ immunosuppressive,Monocyte-derived,CCL13,CCR2,7.31794825627304e-05,11998,0.815706996671223,35574,0.142577888521535,262,2.00695375282914,158
Ciliated,Ciliated,EFNB3,RHBDL2,7.37386340776149e-05,27245.6666666667,0.583244234709792,81364,0.19823045156266,110,1.84322362218662,263
SPP1+ immunosuppressive,tumor_MPR,CXCL8,SDC1,7.43253044734527e-05,1625,0.945390234127245,1727,0.0500873092264036,2676,1.63752056276439,472
tumor_MPR,SPP1+ immunosuppressive,F12,CD93,7.48633089675469e-05,15870,0.774500931701231,47081,0.141862477193192,265,1.84042536808811,264
SPP1+ immunosuppressive,IFN-stimulated,CCL13,CCR2,7.82883051675106e-05,12080.3333333333,0.814910565987534,35808,0.141077625680768,271,2.00131712602241,162
tumor_NMPR,tumor_MPR,BDNF,NTRK2,7.82883051675106e-05,12311,0.812131173345321,36561,0.204413485439127,101,1.82979246994691,271
tumor_MPR,tumor_MPR,WNT5A,FZD6,7.94469598363928e-05,7818.66666666667,0.861173491673735,23100,0.140841705912164,273,2.24131583902762,83
Ciliated,tumor_NMPR,OMG,RTN4R,8.06141085191413e-05,21896,0.696246339311905,65392,0.140766435977175,275,2.69757809235582,21
tumor_MPR,tumor_NMPR,DSG2,DSC3,8.41665149270995e-05,4254,0.900208553117819,12264,0.154939960333137,217,1.81482394788976,281
CD8.TEX,IFN-stimulated,CCL5,CCR1,8.45067066186442e-05,2021.66666666667,0.944117585519596,1930,0.0491398976912534,2793,1.31930653836348,1342
tumor_MPR,SPP1+ immunosuppressive,FGF2,NRP1,8.47660138921768e-05,10052.6666666667,0.836990865534157,29810,0.139307107012468,282,2.32796176466386,66
tumor_MPR,tumor_MPR,BDNF,NTRK2,8.47660138921768e-05,12531.3333333333,0.80981940426134,37203,0.198340122836576,109,1.81326972786206,282
tumor_MPR,SPP1+ immunosuppressive,CX3CL1,CX3CR1,8.53676359418284e-05,18925.6666666667,0.737944193283707,56427,0.235863674330078,67,1.81273496834503,283
Lipid-associated,CD8.TEX,HLA-DQA1,LAG3,8.56006310770935e-05,2107.66666666667,0.942276025373866,2253,0.0490220060089064,2805,1.33410244034177,1265
CD8.TPEX,CD8.TPEX,TNFSF9,TNFRSF9,8.6577249108681e-05,5011,0.89147437164047,14600,0.179229727926203,148,1.80929156982649,285
CD8.TPEX,normal_MPR,XCL1,ADGRV1,8.71852401327948e-05,18796.6666666667,0.739155624124847,56092,0.138850356766494,286,2.92370414625401,12
CD8.TPEX,tumor_MPR,COL6A3,SDC1,8.7795354055309e-05,6373,0.876366556671533,18697,0.18402249780073,135,1.80821772625923,287
CD8.TEX,Lipid-associated,CCL5,CCR1,9.00707304248097e-05,2077,0.943797617802515,1984,0.0485490463915484,2853,1.31026905612359,1394
Ciliated,tumor_MPR,INHBB,SMAD3,9.02570377984969e-05,11433,0.821837615422759,33911,0.138042806723707,291,2.17384755825491,97
CD8.TEX,normal_NMPR,CCL5,SDC4,9.0925826614045e-05,2413,0.939424554153179,2794,0.048436604060488,2862,1.27412091043446,1583
CD8.TPEX,Ciliated,CCL5,SDC4,9.13076000561353e-05,2588,0.939413221310241,2798,0.0484173172886107,2866,1.20719808807159,2100
M2-SIGLEC8+,CD8.TEX,HLA-DQA1,LAG3,9.17863177140798e-05,2178.33333333333,0.941923373562318,2320,0.0483922300475879,2871,1.31893188477319,1344
Ciliated,SPP1+ immunosuppressive,SLPI,CD4,9.41074647857232e-05,1524.66666666667,0.947107915168024,1473,0.0482032059706937,2895,1.92587006592097,206
normal_MPR,tumor_MPR,SCGB3A1,NOTCH3,9.65598272381403e-05,4371,0.899204878024757,12563,0.136217430862803,301,1.8689433195596,249
IFN-stimulated,tumor_MPR,FN1,SDC1,9.75621204244436e-05,1998,0.938750107441244,2930,0.0639695007169906,1609,1.29663238697652,1455
tumor_MPR,tumor_NMPR,SFRP1,FZD6,9.78458530184251e-05,19520.3333333333,0.73051030766509,58172,0.215869907984376,86,1.79204212380542,303
M2-SIGLEC8+,CD8.TEX,HLA-A,CD8A,9.80445557959358e-05,1957.66666666667,0.966062500286285,1,0.0368786268790731,4845,1.39346511533111,1027
tumor_MPR,tumor_MPR,NECTIN1,NECTIN4,0.00010109805352992,6941.66666666667,0.87086981492322,20312,0.135018368771519,308,1.92716732576455,205
CD8.TEX,SPP1+ immunosuppressive,CCL5,CCR1,0.000101715309542609,2175.33333333333,0.943239533452149,2083,0.0475427692512106,2971,1.2948773462488,1472
Stress-response,CD8.TEX,HLA-DQB1,LAG3,0.000103471358030659,2317,0.93839904772414,2988,0.0506031149219248,2625,1.31974806114238,1338
Regulatory,CD8.TEX,HLA-DRB1,LAG3,0.000105563034389051,1831.66666666667,0.948463465641624,1286,0.0471945769844162,3008,1.35012156265458,1201
SPP1+ immunosuppressive,CD8.TPEX,CCL13,CXCR3,0.000105740251669353,11145.3333333333,0.825660318112418,32923,0.160458970922238,198,1.78003591377697,315
normal_MPR,tumor_MPR,FGF23,FGFR3,0.00010843961141443,15750,0.775450990400236,46823,0.200046464002443,108,1.76968566034716,319
Ciliated,MRC1+ M2-like,FGF14,FGFR1,0.00011117291295891,23468.3333333333,0.670798274209813,70044,0.13125379815481,323,2.54435456872083,38
Ciliated,SPP1+ immunosuppressive,FGF14,FGFR1,0.000113245161631202,23475,0.670669421884066,70060,0.131100730485136,326,2.54406757583103,39
tumor_MPR,normal_NMPR,FGF2,GPC4,0.000113940153324007,20319,0.72070575587585,60304,0.130999216345126,327,1.75714723546505,326
MRC1+ M2-like,tumor_MPR,LPL,CD44,0.000114100686688331,2536.33333333333,0.94095589525155,2496,0.0573510005498531,2026,1.11313905607752,3087
M2-SIGLEC8+,CD8.TEX,HLA-DQB1,LAG3,0.000116332786136462,2432.66666666667,0.937796466150626,3107,0.0495637381104448,2738,1.29729342192353,1453
tumor_MPR,tumor_MPR,WNT5A,LRP6,0.00011744692570887,14924.6666666667,0.785287817765933,44219,0.129549732958212,332,1.90987608461048,223
M2-SIGLEC8+,MRC1+ M2-like,APOE,TREM2,0.000117572757004101,2134,0.939576114203725,2759,0.0463801226743453,3118,1.60521113028316,525
tumor_MPR,normal_MPR,SEMA6A,PLXNA2,0.000118154642644207,24634.3333333333,0.649057951327224,73453,0.129337242841095,333,2.07016759823479,117
Regulatory,CD8.TEX,HLA-DRB5,LAG3,0.00011893546704156,1465.66666666667,0.937686497385876,3130,0.0991723097380821,622,1.54164366090003,645
tumor_MPR,M2-SIGLEC8+,FGF2,SDC3,0.000119576438600894,6496,0.874859231059544,19110,0.129246695839315,335,2.52372831949689,43
IFN-stimulated,Ciliated,CXCL9,GRM7,0.000120290517529158,16967,0.761389233900635,50506,0.244153461969468,59,1.74950720650821,336
SPP1+ immunosuppressive,CD8.TEX,HLA-DQA1,LAG3,0.000125080118938969,2484.33333333333,0.940452553510964,2591,0.0458875366803643,3183,1.25859679381453,1679
Ciliated,SPP1+ immunosuppressive,PIP,CD4,0.000126079485609611,7075,0.869053143953219,20806,0.127921769027137,344,2.2814820697378,75
M2-SIGLEC8+,CD8.TEX,CD59,CD2,0.000128770382866327,2185,0.937247738253228,3214,0.0538905466857195,2309,1.39238195140732,1032
Ciliated,Monocyte-derived,CD24,SIGLEC10,0.000131676690584778,1331.33333333333,0.937096492839968,3238,0.0966218004216791,658,2.17357265301096,98
tumor_MPR,MRC1+ M2-like,FGF2,SDC2,0.000133506510816195,9982.33333333333,0.838506238961391,29377,0.126438529206657,354,1.91501190559549,216
Ciliated,Resident M2,CD24,SIGLEC10,0.000133761567173135,1338.66666666667,0.937002968950273,3255,0.0963159006589388,662,2.17010596567749,99
Stress-response,CD8.TPEX,HLA-DQA1,LAG3,0.000133884887602227,2496.33333333333,0.940134602721152,2646,0.0453707112897187,3256,1.27371342181619,1587
tumor_MPR,tumor_MPR,DLL3,NOTCH3,0.000134260872638732,24226.6666666667,0.65663345822734,72280,0.267564327073698,45,1.73718757869101,355
Resident M2,CD8.TPEX,S100A8,CD69,0.000136117635045341,2561.66666666667,0.937500076122444,3162,0.0452789758178285,3274,1.33711670669789,1249
SPP1+ immunosuppressive,SPP1+ immunosuppressive,C1QA,CD93,0.000138249005719759,2225,0.937487272865357,3170,0.045178165797572,3291,1.91578757513241,214
Ciliated,tumor_MPR,OMG,RTN4R,0.00013883155536971,22677.3333333333,0.684334176570201,67647,0.125920847431021,361,2.67635610929393,24
Resident M2,CD8.TEX,HLA-F,CD8A,0.000142192684680256,2435.66666666667,0.941728123534782,2350,0.0449245410031496,3322,1.26507996405656,1635
IFN-stimulated,SPP1+ immunosuppressive,CXCL9,FCGR2A,0.000142964537138935,1512.33333333333,0.950564883823038,998,0.0449037535010573,3328,1.92097178656783,211
tumor_MPR,tumor_NMPR,SEMA6A,PLXNA2,0.000143478536775483,24831,0.645224661465262,74002,0.125066942815785,367,2.06030772371763,124
M2-SIGLEC8+,CD8.TEX,HLA-DPB1,LAG3,0.00014348065410417,2229.66666666667,0.944997088914919,1775,0.0448613386062851,3332,1.27414508596524,1582
MRC1+ M2-like,Stress-response,LPL,CD44,0.000144257156264679,2684.33333333333,0.940389506626276,2599,0.0561986216660806,2116,1.09135778814514,3338
tumor_MPR,SPP1+ immunosuppressive,COL4A5,CD93,0.00014426045089725,8886.66666666667,0.850136071198375,26190,0.12488123573344,368,2.1591407519998,102
M2-SIGLEC8+,CD8.TEX,HLA-F,CD8A,0.000146210657451619,2467,0.941565753933701,2382,0.0446598225643786,3353,1.25968578702127,1666
tumor_MPR,tumor_MPR,COL4A5,SDC1,0.000148996434717221,6034.66666666667,0.88090924201363,17416,0.123818297512229,374,1.7802942039046,314
CD8.TEX,tumor_NMPR,GZMA,PARD3,0.000150592046907544,2879.33333333333,0.915869116505752,8159,0.204170944158902,103,1.71658724963426,376
Monocyte-derived,Ciliated,EREG,ERBB2_ERBB4,0.000153001355397767,12331.6666666667,0.813252042452502,36263,0.123335300111277,379,1.74034153037412,353
Resident M2,tumor_MPR,DLL1,NOTCH3,0.000153808695429598,11308,0.824407390328447,33249,0.123324114151411,380,1.80016567896694,295
tumor_MPR,tumor_MPR,RGMA,NEO1,0.000154618153984734,18135.3333333333,0.748587456637106,53814,0.156076577781551,211,1.71031564776398,381
SPP1+ immunosuppressive,CD8.TEX,HLA-DRB1,LAG3,0.000155287891175777,2179.33333333333,0.946888066220806,1506,0.0442888458814771,3421,1.26970305666142,1611
CD8.TEX,tumor_NMPR,CD96,NECTIN1,0.000156651068606593,3916.83333333333,0.904271108104605,11229.5,0.18280773050647,137.5,1.71012938004919,383.5
tumor_NMPR,CD8.TEX,NECTIN1,CD96,0.000156651068606593,3916.83333333333,0.904271108104605,11229.5,0.18280773050647,137.5,1.71012938004919,383.5
MRC1+ M2-like,CD8.TEX,HLA-DRB1,LAG3,0.000158027397364917,2195.33333333333,0.946813264213623,1517,0.0441573800224454,3441,1.26606463053116,1628
Lipid-associated,CD8.TPEX,HLA-DQA1,LAG3,0.00015885548685019,2697.66666666667,0.939340211843367,2821,0.0441155095996698,3447,1.24011424015003,1825
IFN-stimulated,CD8.TEX,HLA-DPA1,LAG3,0.000161077857468244,2141,0.947429240306233,1426,0.0439772628883123,3463,1.28330849469645,1534
IFN-stimulated,Ciliated,CXCL10,GRM7,0.000161998606850016,19195,0.734793091627006,57168,0.296901205115031,27,1.7001134407172,390
tumor_NMPR,tumor_MPR,JAG1,NOTCH3,0.000163662007317931,5482,0.886446068283765,15884,0.121929751652982,392,1.99145367050044,170
Stress-response,CD8.TEX,HLA-DRB5,LAG3,0.000164733254314067,1668,0.935678057334491,3489,0.0926774370693966,722,1.47209456617272,793
tumor_MPR,Ciliated,WNT5A,ANTXR1,0.000165333879644978,15125.3333333333,0.78298050874035,44835,0.121819680443527,394,2.02902392370044,147
MRC1+ M2-like,IFN-stimulated,LPL,CD44,0.000165726760646049,2780,0.940042601553801,2664,0.0555092115188678,2180,1.07832715443327,3496
tumor_MPR,tumor_MPR,SLC6A8,LIFR,0.000166172992639316,14645.6666666667,0.788841989938094,43193,0.127217682306627,349,1.69568844436641,395
M2-SIGLEC8+,CD8.TEX,HLA-DPA1,LAG3,0.000167582426443677,2183.33333333333,0.947239274393935,1455,0.0436436442426074,3509,1.27382032547623,1586
SPP1+ immunosuppressive,CD8.TEX,HLA-DPB1,LAG3,0.000168443539144616,2412.33333333333,0.944256268357189,1898,0.0436084162701272,3515,1.24013586249841,1824
CD8.TEX,Stress-response,CCL5,CCR1,0.000169451892896104,2632.66666666667,0.940873611891988,2512,0.0435945576459307,3522,1.23448669926226,1864
M2-SIGLEC8+,CD8.TPEX,HLA-DQA1,LAG3,0.000170319392374419,2786.33333333333,0.938970785987855,2892,0.0435487664218787,3528,1.22494368458144,1939
IFN-stimulated,CD8.TEX,HLA-DQB1,LAG3,0.000170319392374419,2909.66666666667,0.935472932309326,3528,0.0458306036920723,3187,1.21664299217164,2014
Stress-response,Ciliated,EREG,ERBB2_ERBB4,0.000170400324057417,12466.6666666667,0.811863401094244,36634,0.121106691859287,400,1.72703262468008,366
