source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL11,ACKR3,4.82089391591027e-07,3614.66666666667,0.781653498958749,10837,0.407249859832895,5,3.01702297223801,2
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CXCR3,6.94187296373211e-07,2405,0.834487685892204,7208,0.546787149925049,1,2.88722873542424,6
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL11,CXCR3,3.25811956481763e-06,2998.33333333333,0.807609714966671,8975,0.379031975861332,7,2.7723511507944,13
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL11,CCR5,9.32835324295176e-06,3412,0.790508392521245,10205,0.247223090592084,22,2.83028514093467,9
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL9,CXCR3,1.019534394759e-05,1425,0.876848588171186,4250,0.465143239340981,2,2.58970384175815,23
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Proliferating TAMs (cycling/MKI67+),CXCL11,ACKR3,1.11008256168253e-05,4632,0.733603352513223,13865,0.240984976807597,24,2.85424827013497,7
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL10,CXCR3,1.5107590514678e-05,1649.33333333333,0.866974606633417,4917,0.46356710809286,3,2.55499509653223,28
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CXCL9,FCGR2A,1.53203324354139e-05,154.666666666667,0.939509579356504,372,0.161668099000876,91,3.07534911625685,1
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL9,CXCR3,1.97299251458458e-05,1938,0.855659845753824,5772,0.322436547914704,10,2.47482625712831,32
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,S100A8,CD69,2.0511193874835e-05,227,0.944867238578933,179,0.0875135787998725,410,1.34952145435177,92
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,S100A8,CD69,2.20489158862868e-05,234,0.944740986129435,187,0.0870908654728147,420,1.34514196091453,95
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL10,CXCR3,2.360050626347e-05,2193,0.844388493821363,6533,0.32134397625995,11,2.44011751190239,35
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CCR5,2.78171203671463e-05,3734.66666666667,0.776389940797703,11154,0.209308298019418,38,2.78726491159609,12
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Proliferating TAMs (cycling/MKI67+),APOE,LRP4,3.08203893673642e-05,3586.66666666667,0.783549815683657,10704,0.265555534775273,16,2.05282437154412,40
Proliferating TAMs (cycling/MKI67+),Proliferating TAMs (cycling/MKI67+),APOE,LRP4,3.23796710330444e-05,3709.33333333333,0.777501936825594,11066,0.247450617177133,21,1.97607275082557,41
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL9,FCGR2A,4.50630929430125e-05,221.333333333333,0.935232100052331,533,0.139737926229581,126,2.94000457817471,5
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Proliferating TAMs (cycling/MKI67+),APOE,LRP4,7.16301578093172e-05,4360,0.748864492445193,12975,0.180189005169446,61,1.69093266632927,44
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL10,SDC4,7.3995649834785e-05,2376.66666666667,0.836995200036241,7043,0.177870640362746,62,2.57254922471218,25
Proliferating TAMs (cycling/MKI67+),Proliferating TAMs (cycling/MKI67+),F8,LRP4,7.63994935459838e-05,7221,0.347965101200785,21596,0.418842086086004,4,1.45587821580077,63
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Proliferating TAMs (cycling/MKI67+),CXCL8,CD79A,8.13222217405622e-05,2149.33333333333,0.847656734499009,6332,0.189778440696117,51,1.42717336281985,65
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CLCF1,SORL1,9.42999467395915e-05,3803,0.774630753159969,11284,0.185144523061531,55,1.41124395211506,70
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CXCL10,TLR4,9.97593235479238e-05,2127.66666666667,0.848240776320189,6293,0.170215245683373,72,2.67835947280241,18
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL9,FCGR2A,0.000102516418045048,292,0.931136984892013,701,0.122532191798749,167,2.83381744489535,8
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL8,CXCR2,0.000111137840272979,2884.33333333333,0.814731520488667,8530,0.1956795208437,47,1.38903673395329,76
Proliferating TAMs (cycling/MKI67+),Proliferating TAMs (cycling/MKI67+),SPP1,S1PR1,0.000114078232602848,3209.33333333333,0.799767791154505,9521,0.220524576346818,30,1.38488514002891,77
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL9,FCGR2A,0.000115298047923889,304,0.930722142921449,729,0.120961264263747,173,2.82412228819036,10
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CCL14,CCR1,0.000117056923049653,5521.33333333333,0.686649944659419,16418,0.17374779768808,68,1.38478690994237,78
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL10,TLR4,0.000123129184009062,2163.33333333333,0.846756460455016,6391,0.166350091986461,80,2.66844517194915,19
Proliferating TAMs (cycling/MKI67+),Proliferating TAMs (cycling/MKI67+),FN1,CD79A,0.000132524722043871,2736.33333333333,0.821393632648676,8064,0.164557766700034,83,1.45724853494688,62
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL14,CCR1,0.000132524722043871,5586.66666666667,0.68265202513899,16599,0.167430812420188,78,1.36538399920022,83
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL2,CXCR2,0.000159263402579221,3050.66666666667,0.807168032937686,9009,0.189607514208295,52,1.34985077363713,91
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL9,FCGR2A,0.000171399420154279,354.666666666667,0.927816572693809,832,0.110724663566585,217,2.76094595085196,15
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL2,CXCR2,0.000192270308248225,3103,0.804798253007671,9152,0.183946847666079,57,1.32572898596723,100
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DRA,LAG3,0.000197328050042472,586.666666666667,0.934935212121122,544,0.093556018039415,344,0.877707249525047,872
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL10,TLR4,0.000211945203956932,2315,0.840432416064253,6819,0.151142502402159,105,2.62943699007215,21
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Proliferating TAMs (cycling/MKI67+),CXCL8,CD79A,0.000220082574092156,2400.33333333333,0.837349221621309,7006,0.162462941221204,88,1.30519612486012,107
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DPA1,LAG3,0.000221321682214598,677.666666666667,0.928743718766077,798,0.0948431578806081,329,0.869294127068117,906
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Proliferating TAMs (cycling/MKI67+),APOE,LRP5,0.000224208547414415,3607.16666666667,0.78516985022706,10607.5,0.149150670460589,108,1.30543182577804,106
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A8,CD68,0.000244043315024354,383.666666666667,0.945174193947857,173,0.0657109796407412,936,1.81195799721394,42
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL14,CCR1,0.000249766197924087,5811,0.668311202645329,17210,0.146893965830821,114,1.30230413049701,109
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Proliferating TAMs (cycling/MKI67+),S100A8,AGER,0.000272113837217809,4453.66666666667,0.745411502797732,13175,0.142687034681327,119,1.41776091102655,67
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),CXCL13,CXCR5,0.000276697823734498,2871.33333333333,0.815264541613759,8488,0.380141288274749,6,1.28228879428595,120
Proliferating TAMs (cycling/MKI67+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CLCF1,SORL1,0.00029541517961931,4268.66666666667,0.754790211412217,12572,0.148486721877973,110,1.27298425940442,124
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL8,CXCR2,0.000314742619792862,3171,0.802714776754245,9308,0.167514657494358,77,1.26705949599356,128
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,NECTIN2,CD96,0.000339759502843679,1369,0.881456461938835,3885,0.162062084750986,89,1.25615861258665,133
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A12,CD36,0.000339759502843679,2647.66666666667,0.826651371705261,7726,0.136500103191993,133,1.36066053351754,84
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),APOE,ABCA1,0.000341569759966874,516.333333333333,0.937555988018909,444,0.0629039078581552,1047,1.4741703270703,58
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DRA,LAG3,0.000346486716123827,671,0.934006998021921,585,0.0907622436514226,376,0.842725575106803,1052
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL3,CXCR2,0.000350032967950164,3893.66666666667,0.771703276785518,11500,0.195882427613241,46,1.25381863922631,135
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DRB5,LAG3,0.00035145063425744,788.666666666667,0.923312309287755,1057,0.104540941270024,261,0.843066121818367,1048
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL3,CXCR2,0.000355226838765428,3896.66666666667,0.771590916310617,11506,0.195632774561149,48,1.25296922271996,136
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL8,CCR2,0.000360458796993702,5495.33333333333,0.688486357524497,16318,0.220514927626643,31,1.25285577551619,137
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),APOE,SORL1,0.000367653356640333,661,0.923047848261223,1073,0.0692769665050072,817,1.34830786681082,93
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL10,SDC4,0.00037103696140427,2857.33333333333,0.816377297212197,8402,0.133348522032438,139,2.48552262466437,31
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),APOE,TREM2,0.000372816952456081,586.333333333333,0.93300852332574,622,0.0623008371501798,1078,1.47201451261222,59
Proliferating TAMs (cycling/MKI67+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL13,CCR2,0.000376383160444059,6769.66666666667,0.559792326773789,20156,0.295247603665567,13,1.24727561488145,140
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Proliferating TAMs (cycling/MKI67+),FN1,CD79A,0.000387189774336379,3127,0.805168865766354,9129,0.132882204595155,142,1.30161640465058,110
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.000392650182046404,972,0.89808741367376,2770,0.132667269209395,143,3.01047674543414,3
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),C3,CR1,0.000403685181137921,3708,0.780712485174905,10875,0.151599096474186,104,1.23898875080843,145
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DPB1,LAG3,0.000403721829038377,773.333333333333,0.927430043169533,844,0.0915613040423272,369,0.833229672288298,1107
CD8.TEX,Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.000409259765376906,977,0.897851102531467,2781,0.131984669690752,146,3.0030653882274,4
Proliferating TAMs (cycling/MKI67+),CD8.TEX,LGALS1,PTPRC,0.000416608803737564,1274,0.957764362203032,1,0.0341238591717042,3505,1.08436792008023,316
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TNFSF13B,CD40,0.000443506231527062,1392,0.880264392607971,3985,0.12838912653014,152,2.06936264231613,39
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DQA1,LAG3,0.000444404103749015,818,0.924082147164282,1016,0.0988116184107379,295,0.827178973944938,1143
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CXCL9,FCGR2A,0.000446741018012944,506,0.921803450905314,1145,0.0931315003983113,353,2.65236775736274,20
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Proliferating TAMs (cycling/MKI67+),APOE,LSR,0.0004493471026731,1926.66666666667,0.859752312500235,5474,0.127896923523838,153,1.23219987910753,153
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),APOE,LRP1,0.000454984714765477,765.666666666667,0.92312476672932,1064,0.0605632468418061,1152,1.37214799180886,81
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),COL6A2,ITGAV_ITGB8,0.000455226000520849,4045.33333333333,0.765194927970307,11927,0.127432743668201,154,1.50203969441584,55
Proliferating TAMs (cycling/MKI67+),Proliferating TAMs (cycling/MKI67+),APOE,LRP5,0.000461142921499055,3748.16666666667,0.779154478827386,10962.5,0.138981947746218,127,1.22868020505949,155
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DQB1,LAG3,0.000495215717914494,885.333333333333,0.921029586130846,1185,0.0969514060412226,310,0.823576937836789,1161
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DQB1,LAG3,0.000496470486874058,886.666666666667,0.921024102906589,1186,0.0969367898035141,311,0.823417732339345,1163
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Proliferating TAMs (cycling/MKI67+),FN1,CD79A,0.000497442733117717,3268,0.799951156501337,9512,0.124412623163574,161,1.26000265217634,131
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,NECTIN2,CD96,0.000509846693470791,1469,0.878123670218559,4143,0.152162660438037,101,1.21690313384219,163
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL10,TLR4,0.000516105661916726,2640.66666666667,0.82653595029268,7731,0.123701478465951,164,2.55904947424258,27
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),SPP1,CD44,0.000535110477477079,742.666666666667,0.945285564946514,167,0.0479335691521005,1923,1.25213378539536,138
CD8.TEX,Proliferating TAMs (cycling/MKI67+),CXCL13,CXCR5,0.000535110477477079,3077,0.80645203915427,9056,0.338866274455654,8,1.2126484780813,167
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),APOE,SORL1,0.000543066467244803,776.333333333333,0.920502253502789,1222,0.0645538347838639,982,1.27155624609227,125
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),FN1,C5AR1,0.000549759898555009,815,0.923020027657243,1077,0.0590015297611013,1227,1.24375068399425,141
Proliferating TAMs (cycling/MKI67+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),APOE,ABCA1,0.000571548060595523,611,0.935456767014024,518,0.0586152754659264,1243,1.39741870635176,72
Proliferating TAMs (cycling/MKI67+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CLCF1,SORL1,0.000574145383186499,4552.66666666667,0.742874016679723,13335,0.130812459824567,150,1.20632346793592,173
Proliferating TAMs (cycling/MKI67+),CD8.TEX,COL6A2,ITGA1_ITGB1,0.00058078406510532,2440.33333333333,0.836617456444191,7072,0.120865389771078,174,1.38980984829488,75
Proliferating TAMs (cycling/MKI67+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),APOE,TREM2,0.000596739284479012,686,0.930767716049235,724,0.058053320622785,1261,1.39526289189367,73
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL11,CCR5,0.00066340745977383,4902.33333333333,0.722362553846829,14505,0.11753404621981,186,2.68313274860908,16
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DRB1,LAG3,0.000672110800890593,793,0.932558252926387,639,0.0865365571607116,428,0.798052317983118,1312
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL2,CCR2,0.00067770891611545,3711.33333333333,0.781822805683654,10825,0.117315039514298,188,1.27957887922343,121
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IL15RA,AXL,0.000692161979288493,4337.66666666667,0.753627884533946,12655,0.121848496548168,168,1.18594985167236,190
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TIGIT,NECTIN2,0.000703101251464742,2038.5,0.854270132845006,5859.5,0.176114811015133,64.5,1.18490878748712,191.5
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,NECTIN2,TIGIT,0.000703101251464742,2038.5,0.854270132845006,5859.5,0.176114811015133,64.5,1.18490878748712,191.5
Proliferating TAMs (cycling/MKI67+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD24,SIGLEC10,0.000721522811848753,6305,0.624867752397639,18679,0.20314716154167,42,1.18005055102513,194
Proliferating TAMs (cycling/MKI67+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),APOE,LRP1,0.000724112796705278,892.333333333333,0.920581497525753,1217,0.056434194911201,1345,1.29539637109031,115
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CCL14,CCR1,0.000728957729617795,6185,0.641081803844342,18186,0.115436733435657,195,1.20568179460828,174
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A9,CD68,0.000736430524095923,670.333333333333,0.944399403074935,196,0.0499989395528704,1770,1.61459930806094,45
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),SPP1,ITGA5_ITGB1,0.000740384392487479,928.666666666667,0.919888033826355,1263,0.0561767993306346,1355,1.21261862357356,168
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL10,SDC4,0.000743941191711881,3123.66666666667,0.805019485220605,9141,0.114997786123056,197,2.44965276459346,33
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Proliferating TAMs (cycling/MKI67+),APOE,LRP4,0.000751489728894419,5265.33333333333,0.704245694646857,15529,0.114901130650317,198,1.41415978650533,69
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DPA1,LAG3,0.00075689794065894,880.666666666667,0.926557134745775,883,0.0888598792792594,394,0.789285262286124,1365
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),HMGB1,THBD,0.000763571506576852,614,0.939779282585632,362,0.0560457887192015,1369,1.29993955421528,111
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.000782062501865299,1151,0.891074231444082,3240,0.114326976922349,202,2.81134613707155,11
Proliferating TAMs (cycling/MKI67+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),SPP1,CD44,0.000813240902201204,828,0.944165829327463,206,0.045921278661902,2106,1.20674981176453,172
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),VIM,CD44,0.000833179036157339,2689,0.957760820599647,2,0.02174279139025,7582,0.99347582706311,483
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL10,TLR4,0.000877413670727323,2822.66666666667,0.818976031289559,8225,0.111516871179802,214,2.52779538400802,29
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DRA,LAG3,0.000883099571219239,842.333333333333,0.932233346782607,653,0.0857468005735563,437,0.779925730721648,1437
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A8,ITGB2,0.000899796394010302,580.666666666667,0.942455885612567,246,0.0547568302183423,1446,1.56789421709836,50
Proliferating TAMs (cycling/MKI67+),Proliferating TAMs (cycling/MKI67+),APOE,LSR,0.000902102403246167,2061.33333333333,0.855440803325405,5788,0.119177228551506,179,1.15544825838898,217
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.000910407581797157,1188.66666666667,0.889488765614983,3334,0.110675193757183,218,2.7716967251698,14
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Proliferating TAMs (cycling/MKI67+),APOE,TREM2,0.000912927337963869,775.666666666667,0.928803687396672,794,0.054663145798106,1453,1.37367580517588,80
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DQA1,LAG3,0.000918593767389338,968,0.922441499931835,1114,0.0943394954776045,334,0.77637434951247,1456
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),C1QA,CR1,0.000927131319038685,1951,0.859040153303194,5532,0.110493020496291,220,1.31870215086195,101
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TIGIT,NECTIN2,0.000931335871607433,2155.5,0.850038132885949,6164.5,0.164671223754525,81.5,1.15378401576139,220.5
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,NECTIN2,TIGIT,0.000931335871607433,2155.5,0.850038132885949,6164.5,0.164671223754525,81.5,1.15378401576139,220.5
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,S100A8,CD69,0.000947277861497672,1004.66666666667,0.931114481541098,704,0.0544381869813051,1471,0.884616033210912,839
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),VASP,CXCR2,0.000952500321681046,4434,0.749496171126553,12923,0.126741268634028,156,1.14794490365284,223
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),SPP1,ITGAV_ITGB1,0.00097458277312082,1039.33333333333,0.917853220811061,1397,0.0542455223121483,1485,1.13644943727239,236
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TNFSF13B,HLA-DPB1,0.000986854515867702,778,0.94325249029096,227,0.0464233602388482,2059,1.58525352763806,48
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),LTB,CD40,0.000986854515867702,3720.66666666667,0.783325566517544,10716,0.110619100111869,219,1.14387979273468,227
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,S100A8,CD69,0.000990418611161939,1023,0.930959036878724,713,0.0541752363917688,1493,0.880236539773675,863
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Proliferating TAMs (cycling/MKI67+),S100A9,AGER,0.00103064688646889,4582.66666666667,0.742582539730158,13354,0.10856938157085,232,1.22040222187354,162
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DRB5,LAG3,0.00103690023614347,1015.66666666667,0.92056153209669,1219,0.0968466052645449,312,0.769383222247844,1516
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TIMP1,CD63,0.00103951860859231,1465,0.945023874875077,175,0.031714080651933,3987,1.14030531989677,233
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),GNAI2,CXCR2,0.00104842807171721,3250.33333333333,0.802737324685411,9305,0.108277224468439,234,1.16098983177198,212
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,SECTM1,CD7,0.00107538287138819,1321.66666666667,0.884775028100866,3655,0.168909221822702,73,1.13640689250499,237
Proliferating TAMs (cycling/MKI67+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD24,SIGLEC10,0.00108444326280644,6424.66666666667,0.614401527548384,18982,0.185881982482428,54,1.13606817706118,238
